Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 93, 1125, 32, 0, 0, 0, 
5, 110, 1029, 7, 0, 0, 0, 
5, 177, 995, 3, 3, 30, 5, 
5, 191, 1083, 26, 26, 295, 5, 
5, 193, 961, 5, 0, 0, 0, 
5, 230, 1281, 9, 0, 0, 0, 
5, 250, 898, 0, 0, 0, 0, 
5, 255, 983, 19, 0, 0, 0, 
5, 281, 1087, 0, 0, 0, 0, 
5, 290, 1284, 4, 4, 10, 2, 
5, 316, 1265, 25, 25, 34, 3, 
5, 350, 1505, 14, 12, 1, 1, 
5, 360, 1445, 29, 29, 394, 5, 
5, 367, 1311, 0, 0, 0, 0, 
5, 393, 1636, 55, 11, 90, 4, 
5, 400, 1251, 4, 0, 0, 0, 
5, 408, 970, 19, 19, 126, 4, 
5, 415, 1320, 13, 0, 0, 0, 
5, 422, 1696, 42, 42, 10, 1, 
5, 431, 1408, 15, 0, 0, 0, 
5, 439, 1017, 3, 3, 4, 3, 
5, 444, 1304, 0, 0, 0, 0, 
5, 447, 1008, 12, 0, 0, 0, 
5, 455, 1263, 92, 4, 1, 1, 
5, 458, 1443, 0, 0, 0, 0, 
5, 475, 1363, 7, 5, 4, 3, 
5, 478, 1521, 5, 0, 0, 0, 
5, 479, 1271, 11, 10, 3, 1.9, 
5, 486, 971, 2, 0, 0, 0, 
5, 486, 1038, 28, 28, 59, 3, 
5, 490, 1156, 26, 26, 16, 1.81, 
5, 494, 1214, 19, 0, 0, 0, 
5, 503, 1768, 15, 13, 20, 3, 
5, 506, 727, 52, 16, 3, 1, 
5, 510, 1459, 7, 7, 28, 4, 
5, 513, 1156, 4, 0, 0, 0, 
5, 521, 1161, 12, 0, 0, 0, 
5, 535, 1564, 5, 4, 1, 3, 
5, 539, 1393, 11, 10, 21, 3, 
5, 540, 1490, 12, 11, 56, 4, 
5, 545, 1683, 2, 0, 0, 0, 
5, 547, 788, 3, 0, 0, 0, 
5, 547, 1024, 45, 45, 12, 1.62, 
5, 558, 1171, 8, 4, 4, 1, 
5, 561, 1043, 2, 0, 0, 0, 
5, 565, 1037, 13, 10, 4, 1, 
5, 578, 1150, 30, 23, 1, 1, 
5, 581, 948, 12, 0, 0, 0, 
5, 584, 1512, 1, 0, 0, 0, 
5, 598, 1364, 4, 0, 0, 0, 
5, 605, 942, 71, 71, 18, 2, 
5, 627, 1848, 20, 0, 0, 0, 
5, 629, 930, 5, 5, 94, 4.8, 
5, 636, 1273, 19, 19, 140, 4, 
5, 641, 1533, 20, 0, 0, 0, 
5, 665, 1007, 9, 8, 3, 3, 
5, 667, 1567, 41, 27, 7, 1, 
5, 681, 1750, 19, 14, 10, 1, 
5, 689, 453, 9, 8, 1, 1, 
5, 692, 1151, 2, 0, 0, 0, 
5, 701, 1422, 18, 0, 0, 0, 
5, 706, 1197, 25, 23, 15, 3, 
5, 715, 949, 2, 0, 0, 0, 
5, 720, 1122, 6, 0, 0, 0, 
5, 725, 944, 1, 1, 1, 1, 
5, 728, 1441, 1, 0, 0, 0, 
5, 729, 1744, 17, 13, 14, 2, 
5, 734, 1075, 4, 0, 0, 0, 
5, 734, 1379, 4, 0, 0, 0, 
5, 743, 1352, 35, 35, 464, 5, 
5, 748, 550, 68, 0, 0, 0, 
5, 768, 1295, 10, 0, 0, 0, 
5, 771, 984, 3, 3, 2, 1, 
5, 776, 549, 16, 0, 0, 0, 
5, 776, 799, 16, 13, 9, 3, 
5, 795, 1297, 36, 34, 13, 2, 
5, 815, 1369, 0, 0, 0, 0, 
5, 815, 1467, 1, 0, 0, 0, 
5, 829, 1188, 18, 0, 0, 0, 
5, 830, 389, 11, 0, 0, 0, 
5, 838, 321, 5, 0, 0, 0, 
5, 842, 447, 6, 6, 37, 4, 
5, 849, 1634, 36, 30, 6, 1, 
5, 852, 867, 43, 0, 0, 0, 
5, 852, 1374, 4, 0, 0, 0, 
5, 859, 268, 17, 16, 6, 1.94, 
5, 869, 285, 0, 0, 0, 0, 
5, 874, 1169, 24, 16, 5, 2, 
5, 898, 1025, 0, 0, 0, 0, 
5, 906, 1630, 22, 15, 6, 2, 
5, 912, 1673, 21, 18, 34, 3, 
5, 922, 1460, 12, 0, 0, 0, 
5, 924, 274, 26, 22, 6, 2, 
5, 926, 912, 23, 0, 0, 0, 
5, 927, 1295, 15, 14, 4, 2, 
5, 928, 1099, 49, 0, 0, 0, 
5, 938, 437, 10, 10, 4, 1.4, 
5, 947, 1134, 0, 0, 0, 0, 
5, 960, 1525, 40, 39, 23, 3, 
5, 975, 1685, 67, 66, 21, 2, 
5, 976, 939, 4, 0, 0, 0, 
5, 976, 1201, 5, 0, 0, 0, 
5, 983, 456, 3, 2, 1, 3, 
5, 988, 476, 13, 0, 0, 0, 
5, 995, 1702, 8, 8, 1, 1, 
5, 1000, 1846, 8, 0, 0, 0, 
5, 1003, 437, 57, 51, 43, 3, 
5, 1003, 1211, 2, 2, 3, 2, 
5, 1004, 224, 15, 14, 1, 2, 
5, 1013, 1378, 19, 1, 1, 1, 
5, 1016, 1828, 4, 0, 0, 0, 
5, 1023, 645, 17, 0, 0, 0, 
5, 1032, 1287, 0, 0, 0, 0, 
5, 1033, 1093, 41, 41, 460, 5, 
5, 1043, 1145, 51, 49, 243, 4, 
5, 1044, 779, 1, 0, 0, 0, 
5, 1044, 1162, 13, 9, 5, 3, 
5, 1047, 673, 3, 0, 0, 0, 
5, 1049, 1669, 12, 0, 0, 0, 
5, 1053, 302, 4, 2, 6, 3, 
5, 1054, 620, 6, 5, 19, 3, 
5, 1058, 1279, 35, 26, 4, 1, 
5, 1058, 1402, 5, 0, 0, 0, 
5, 1059, 263, 34, 0, 0, 0, 
5, 1059, 1345, 23, 4, 3, 2, 
5, 1060, 593, 13, 10, 2, 3, 
5, 1060, 1107, 4, 0, 0, 0, 
5, 1068, 757, 32, 32, 17, 1.88, 
5, 1074, 1212, 2, 0, 0, 0, 
5, 1074, 1609, 44, 44, 50, 3, 
5, 1078, 1520, 2, 0, 0, 0, 
5, 1079, 313, 5, 4, 1, 1, 
5, 1081, 1370, 18, 12, 4, 1, 
5, 1082, 1359, 65, 0, 0, 0, 
5, 1085, 1244, 30, 8, 2, 3, 
5, 1087, 554, 23, 1, 14, 4, 
5, 1091, 1177, 28, 0, 0, 0, 
5, 1096, 1063, 40, 39, 26, 2, 
5, 1102, 1769, 3, 1, 2, 2, 
5, 1110, 273, 66, 64, 40, 3, 
5, 1115, 1540, 15, 13, 7, 2, 
5, 1118, 565, 18, 0, 0, 0, 
5, 1121, 1588, 16, 16, 72, 4, 
5, 1133, 1624, 6, 0, 0, 0, 
5, 1138, 1686, 2, 0, 0, 0, 
5, 1139, 1331, 5, 1, 1, 2, 
5, 1144, 1159, 21, 0, 0, 0, 
5, 1146, 584, 12, 1, 2, 1, 
5, 1147, 1721, 22, 22, 9, 3, 
5, 1151, 1155, 8, 0, 0, 0, 
5, 1153, 815, 8, 8, 137, 5, 
5, 1157, 363, 1, 0, 0, 0, 
5, 1177, 335, 0, 0, 0, 0, 
5, 1181, 1313, 18, 0, 0, 0, 
5, 1190, 1704, 13, 0, 0, 0, 
5, 1206, 1420, 9, 9, 108, 5, 
5, 1210, 1454, 38, 0, 0, 0, 
5, 1211, 1311, 40, 0, 0, 0, 
5, 1216, 202, 19, 0, 0, 0, 
5, 1221, 983, 15, 1, 1, 1, 
5, 1223, 245, 6, 3, 13, 3, 
5, 1229, 244, 11, 9, 19, 3, 
5, 1235, 1678, 24, 21, 11, 2, 
5, 1236, 367, 12, 0, 0, 0, 
5, 1241, 1267, 43, 0, 0, 0, 
5, 1245, 1681, 0, 0, 0, 0, 
5, 1248, 1514, 5, 0, 0, 0, 
5, 1255, 368, 8, 2, 1, 1, 
5, 1262, 1178, 8, 8, 4, 1.38, 
5, 1267, 1514, 11, 11, 75, 4, 
5, 1275, 1572, 0, 0, 0, 0, 
5, 1281, 1243, 1, 0, 0, 0, 
5, 1317, 722, 1, 1, 2, 2, 
5, 1333, 552, 5, 0, 0, 0, 
5, 1342, 307, 1, 0, 0, 0, 
5, 1352, 824, 7, 1, 1, 2, 
5, 1358, 1679, 5, 4, 3, 1, 
5, 1359, 100, 13, 0, 0, 0, 
5, 1394, 1253, 5, 1, 2, 3, 
5, 1394, 1453, 4, 0, 0, 0, 
5, 1402, 392, 9, 0, 0, 0, 
5, 1406, 404, 3, 0, 0, 0, 
5, 1407, 541, 11, 0, 0, 0, 
5, 1414, 896, 8, 7, 16, 3, 
5, 1422, 429, 16, 16, 9, 1, 
5, 1430, 463, 2, 0, 0, 0, 
5, 1450, 806, 16, 0, 0, 0, 
5, 1468, 1563, 0, 0, 0, 0, 
5, 1475, 240, 8, 6, 5, 2, 
5, 1492, 1181, 3, 3, 1, 2, 
5, 1500, 710, 7, 2, 3, 2, 
5, 1506, 1482, 8, 1, 1, 1, 
5, 1510, 316, 11, 0, 0, 0, 
5, 1530, 757, 43, 0, 0, 0, 
5, 1556, 265, 5, 5, 2, 3, 
5, 1556, 669, 6, 6, 68, 4, 
5, 1585, 443, 8, 0, 0, 0, 
5, 1600, 609, 5, 0, 0, 0, 
5, 1603, 890, 7, 4, 9, 3, 
5, 1614, 711, 11, 10, 15, 3, 
5, 1618, 685, 16, 0, 0, 0, 
5, 1630, 465, 0, 0, 0, 0, 
5, 1642, 339, 11, 0, 0, 0, 
5, 1675, 259, 2, 2, 1, 1, 
5, 1689, 425, 20, 20, 268, 5, 
5, 1699, 630, 6, 0, 0, 0, 
5, 1708, 395, 3, 0, 0, 0, 
5, 1732, 236, 3, 0, 0, 0, 
5, 1732, 401, 16, 11, 3, 2, 
5, 1738, 61, 25, 0, 0, 0, 
5, 1766, 460, 4, 1, 6, 4, 
5, 1769, 537, 20, 0, 0, 0, 
5, 1791, 830, 81, 64, 79, 3, 
5, 1800, 205, 24, 23, 27, 2.83, 
5, 1802, 422, 8, 6, 3, 2, 
5, 1809, 776, 15, 0, 0, 0, 
5, 1841, 684, 7, 0, 0, 0, 
5, 1845, 160, 42, 36, 6, 2, 
5, 1848, 164, 22, 0, 0, 0, 
5, 1850, 517, 0, 0, 0, 0, 
5, 1862, 574, 25, 0, 0, 0, 
5, 1884, 412, 10, 0, 0, 0, 
5, 1887, 684, 1, 1, 5, 3, 
5, 1916, 416, 16, 2, 17, 4, 
5, 1925, 332, 7, 4, 4, 1, 
10, 100, 1060, 24, 24, 13, 3, 
10, 139, 1176, 16, 0, 0, 0, 
10, 190, 1048, 0, 0, 0, 0, 
10, 211, 977, 21, 0, 0, 0, 
10, 217, 1032, 11, 0, 0, 0, 
10, 230, 1110, 39, 39, 20, 1, 
10, 235, 1029, 38, 31, 5, 1, 
10, 236, 1352, 9, 4, 2, 1, 
10, 275, 995, 19, 17, 9, 3, 
10, 277, 897, 20, 19, 2, 1, 
10, 285, 925, 7, 0, 0, 0, 
10, 371, 1624, 17, 0, 0, 0, 
10, 385, 1336, 23, 0, 0, 0, 
10, 385, 1371, 17, 0, 0, 0, 
10, 395, 1126, 13, 13, 19, 3, 
10, 414, 1037, 31, 30, 224, 4, 
10, 419, 976, 7, 4, 1, 2, 
10, 432, 1640, 0, 0, 0, 0, 
10, 435, 1520, 4, 3, 5, 3, 
10, 439, 1483, 21, 19, 41, 2.95, 
10, 445, 1775, 11, 6, 4, 2, 
10, 453, 899, 14, 13, 11, 1, 
10, 466, 1338, 0, 0, 0, 0, 
10, 472, 1481, 13, 0, 0, 0, 
10, 481, 835, 46, 1, 5, 4, 
10, 496, 1320, 2, 0, 0, 0, 
10, 505, 1179, 25, 0, 0, 0, 
10, 507, 1544, 2, 0, 0, 0, 
10, 515, 1675, 29, 5, 34, 4, 
10, 529, 1165, 14, 1, 1, 3, 
10, 529, 1556, 28, 0, 0, 0, 
10, 545, 1123, 2, 2, 6, 3, 
10, 548, 1105, 3, 0, 0, 0, 
10, 556, 1419, 9, 0, 0, 0, 
10, 568, 831, 0, 0, 0, 0, 
10, 568, 1681, 7, 0, 0, 0, 
10, 590, 1286, 28, 28, 448, 5, 
10, 603, 1651, 0, 0, 0, 0, 
10, 609, 1752, 19, 16, 41, 3, 
10, 614, 1367, 0, 0, 0, 0, 
10, 631, 1741, 12, 9, 2, 2, 
10, 654, 1256, 76, 61, 10, 1, 
10, 672, 1222, 1, 0, 0, 0, 
10, 683, 1641, 13, 0, 0, 0, 
10, 685, 1341, 17, 17, 9, 1.65, 
