DecisionOption,RequiredParticipants,ConsequentVariable,ConsequentValue,ConsequentValueReference,ConsequentValueType
MM1-1_DO1,1,PercentOfHarvestArea,1.42,,Double
MM1-1_DO2,1,PercentOfHarvestArea,1.58,,Double
MM1-1_DO3,1,PercentOfHarvestArea,1.74,,Double
MM2-1_DO1,1,PercentOfHarvestArea,0.03,,Double
MM2-1_DO2,1,PercentOfHarvestArea,0.03,,Double
MM2-1_DO3,1,PercentOfHarvestArea,0.03,,Double
MM3-1_DO1,1,PercentOfHarvestArea,0.07,,Double
MM3-1_DO2,1,PercentOfHarvestArea,0.08,,Double
MM3-1_DO3,1,PercentOfHarvestArea,0.09,,Double
MM4-1_DO1,1,PercentOfHarvestArea,0.03,,Double
MM4-1_DO2,1,PercentOfHarvestArea,0.03,,Double
MM4-1_DO3,1,PercentOfHarvestArea,0.03,,Double
MM5-1_DO1,1,PercentOfHarvestArea,0.01,,Double
MM5-1_DO2,1,PercentOfHarvestArea,0.01,,Double
MM5-1_DO3,1,PercentOfHarvestArea,0.01,,Double
MM6-1_DO1,1,PercentOfHarvestArea,0.09,,Double
MM6-1_DO2,1,PercentOfHarvestArea,0.1,,Double
MM6-1_DO3,1,PercentOfHarvestArea,0.11,,Double
MM7-1_DO1,1,PercentOfHarvestArea,0.01,,Double
MM7-1_DO2,1,PercentOfHarvestArea,0.01,,Double
MM7-1_DO3,1,PercentOfHarvestArea,0.01,,Double
MM8-1_DO1,1,PercentOfHarvestArea,0.03,,Double
MM8-1_DO2,1,PercentOfHarvestArea,0.03,,Double
MM8-1_DO3,1,PercentOfHarvestArea,0.03,,Double
MM9-1_DO1,1,PercentOfHarvestArea,0.01,,Double
MM9-1_DO2,1,PercentOfHarvestArea,0.01,,Double
MM9-1_DO3,1,PercentOfHarvestArea,0.01,,Double
MM10-1_DO1,1,PercentOfHarvestArea,0.05,,Double
MM10-1_DO2,1,PercentOfHarvestArea,0.06,,Double
MM10-1_DO3,1,PercentOfHarvestArea,0.07,,Double
MM11-1_DO1,1,PercentOfHarvestArea,0.42,,Double
MM11-1_DO2,1,PercentOfHarvestArea,0.47,,Double
MM11-1_DO3,1,PercentOfHarvestArea,0.52,,Double
MM12-1_DO1,1,PercentOfHarvestArea,0.05,,Double
MM12-1_DO2,1,PercentOfHarvestArea,0.06,,Double
MM12-1_DO3,1,PercentOfHarvestArea,0.07,,Double
MM13-1_DO1,1,PercentOfHarvestArea,0.14,,Double
